X,Y,Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,OBJECTID,ADDRESS,SCHOOL_NAME,WEBSITE,SCHOOL_TYPE,TYPE,STATUS
-79.6962156009794,43.7218770197914,,,,,,,-1,0,-1,,,153,702 BALMORAL DR,EASTBOURNE DRIVE P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7751151168788,43.6749369521521,,,,,,,-1,0,-1,,,154,70 GRETNA DR,NORTHWOOD P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.6998319127865,43.7218671190687,,,,,,,-1,0,-1,,,155,698 BALMORAL DR,CARDINAL NEWMAN CATHOLIC E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7533189005443,43.6838898366304,,,,,,,-1,0,-1,,,156,66 MAIN ST S,ST. MARY E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7485320200476,43.7902180414462,,,,,,,-1,0,-1,,,157,65 MOUNT ROYAL CIR,MOUNT ROYAL P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.77242950811,43.670595982367,,,,,,,-1,0,-1,,,158,20 ACADEMIC DR,QUEEN STREET P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7429051404897,43.6463226580436,,,,,,,-1,0,-1,,,159,630 RAY LAWSON BLVD,HICKORY WOOD P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7744054511337,43.6719024594364,,,,,,,-1,0,-1,,,160,625 QUEEN ST W,SIR WILLIAM GAGE M.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7469328631041,43.7062455832818,,,,,,,-1,0,-1,,,161,62 SEABORN RD,FATHER C.W. SULLIVAN E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.8194383017901,43.6865619253131,,,,,,,-1,0,-1,,,162,62 HEATHERDALE DR,GUARDIAN ANGELS E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.8083208411385,43.6956461302163,,,,,,,-1,0,-1,,,163,61 EDENBROOK HILL DR,EDENBROOK HILL P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7721824467799,43.6650565248982,,,,,,,-1,0,-1,,,164,60 STERRITT DR,ST. MONICA E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7037257169289,43.7081441842665,,,,,,,-1,0,-1,,,165,57 ALOMA CRES,ALOMA CRESCENT P.S.,http://www.peelschools.org,PUBLIC,ELEMENTARY,CURRENT
-79.7344952355943,43.64672405534,,,,,,,-1,0,-1,,,166,56 OAKLEA BLVD,PAULINE VANIER CATHOLIC E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.7538511710904,43.7277130028744,,,,,,,-1,0,-1,,,167,550 NORTH PARK DR,ST. MARGUERITE BOURGEOYS SEPARATE E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
-79.6982531540055,43.7746630698795,,,,,,,-1,0,-1,,,168,55 LEXINGTON RD,FATHER FRANCIS MCSPIRITT CATHOLIC E.S.,http://www.dpcdsb.org/CEC,CATHOLIC,ELEMENTARY,CURRENT
